unix_time_s,voltage_a0,voltage_a3
1776087146.079514,0.464500,0.958600
1776087146.085756,0.465100,0.960400
1776087146.089336,0.464800,0.962300
1776087146.133969,0.467300,0.960100
1776087146.134171,0.465700,0.958600
1776087146.134248,0.465100,0.960100
1776087146.134398,0.465400,0.962600
1776087146.134470,0.464500,0.960100
1776087146.134602,0.464500,0.958900
1776087146.134673,0.463600,0.960400
1776087146.134901,0.465400,0.962300
1776087146.135038,0.464800,0.960400
1776087146.146112,0.465400,0.958900
1776087146.146248,0.466600,0.960100
1776087146.148175,0.466000,0.962900
1776087146.153201,0.466000,0.960800
1776087146.158358,0.465400,0.958300
1776087146.163146,0.467300,0.960100
1776087146.168158,0.466600,0.961700
1776087146.173141,0.467300,0.961100
1776087146.178164,0.466300,0.958900
1776087146.183192,0.466300,0.960100
1776087146.188156,0.467900,0.962000
1776087146.193143,0.467300,0.960800
1776087146.198182,0.466000,0.958600
1776087146.203173,0.467900,0.960100
1776087146.208178,0.466900,0.962000
1776087146.213161,0.465100,0.960800
1776087146.221904,0.466000,0.958600
1776087146.223293,0.465400,0.959500
1776087146.229551,0.467900,0.962300
1776087146.242423,0.466900,0.960800
1776087146.242537,0.467300,0.958300
1776087146.243158,0.468200,0.960400
1776087146.248210,0.467300,0.962000
1776087146.253164,0.466900,0.960800
1776087146.258175,0.467300,0.959200
1776087146.263153,0.468200,0.960100
1776087146.268164,0.467300,0.962000
1776087146.273149,0.467300,0.960100
1776087146.278164,0.467300,0.958300
1776087146.283195,0.469700,0.960800
1776087146.288171,0.468500,0.961700
1776087146.293169,0.468500,0.960800
1776087146.298163,0.467300,0.958600
1776087146.303435,0.468500,0.959200
1776087146.313239,0.468500,0.961700
1776087146.313831,0.467300,0.960800
1776087146.320040,0.468200,0.958300
1776087146.323945,0.468200,0.959800
1776087146.328164,0.468500,0.961700
1776087146.333789,0.469700,0.960100
1776087146.338182,0.468500,0.958300
1776087146.344658,0.466900,0.959500
1776087146.349631,0.468500,0.962000
1776087146.353257,0.468500,0.960100
1776087146.358247,0.468500,0.958600
1776087146.363240,0.469700,0.959500
1776087146.368165,0.469700,0.961700
1776087146.373187,0.468500,0.960800
1776087146.378165,0.467300,0.958600
1776087146.383166,0.468500,0.959800
1776087146.388166,0.470600,0.961400
1776087146.393279,0.469700,0.959800
1776087146.402989,0.470300,0.958300
1776087146.405465,0.469700,0.959200
1776087146.410442,0.470900,0.961700
1776087146.413181,0.467900,0.960100
1776087146.418167,0.470600,0.958600
1776087146.423176,0.469700,0.959800
1776087146.428183,0.470300,0.961700
1776087146.433163,0.470900,0.960100
1776087146.440297,0.470900,0.958300
1776087146.444157,0.469700,0.959200
1776087146.455602,0.471200,0.961700
1776087146.455696,0.470900,0.960100
1776087146.458158,0.470300,0.958000
1776087146.463164,0.471200,0.959800
1776087146.468196,0.470000,0.962000
1776087146.473197,0.473400,0.960100
1776087146.478154,0.470900,0.958000
1776087146.483181,0.471500,0.959500
1776087146.489392,0.473100,0.961700
1776087146.496849,0.472100,0.959800
1776087146.498240,0.471500,0.958000
1776087146.503388,0.470900,0.959200
1776087146.527737,0.472700,0.961700
1776087146.532607,0.473100,0.961100
1776087146.533745,0.471800,0.958300
1776087146.533820,0.470900,0.959200
1776087146.533890,0.472100,0.961100
1776087146.533958,0.472400,0.960100
1776087146.538177,0.472100,0.958300
1776087146.543283,0.471800,0.959500
1776087146.550651,0.472700,0.961100
1776087146.553167,0.473100,0.960400
1776087146.558388,0.472700,0.958600
1776087146.563307,0.473400,0.959500
1776087146.568165,0.472100,0.961700
1776087146.573359,0.472100,0.960400
1776087146.578177,0.472100,0.958300
1776087146.583241,0.474600,0.959200
1776087146.597287,0.473100,0.961100
1776087146.597369,0.474600,0.960400
1776087146.601703,0.473400,0.958300
1776087146.603230,0.473400,0.959200
1776087146.617816,0.474000,0.961400
1776087146.617901,0.472400,0.959800
1776087146.619438,0.473100,0.958300
1776087146.624784,0.474600,0.959500
1776087146.628157,0.473400,0.961100
1776087146.633442,0.476400,0.960100
1776087146.648625,0.474000,0.958600
1776087146.649088,0.475500,0.959500
1776087146.649162,0.474600,0.961400
1776087146.653179,0.473400,0.959800
1776087146.658215,0.473100,0.958600
1776087146.663239,0.475200,0.959200
1776087146.668161,0.474600,0.961400
1776087146.673161,0.474600,0.959800
1776087146.678156,0.473400,0.958000
1776087146.683157,0.474600,0.959500
1776087146.690986,0.474600,0.961400
1776087146.694023,0.475500,0.960400
1776087146.698266,0.474300,0.958000
1776087146.703210,0.476700,0.959200
1776087146.708234,0.475800,0.961100
1776087146.713216,0.474300,0.960100
1776087146.718405,0.475500,0.958300
1776087146.723315,0.475800,0.959200
1776087146.728307,0.476400,0.961100
1776087146.748201,0.475500,0.960400
1776087146.748450,0.475800,0.958600
1776087146.748678,0.474900,0.959800
1776087146.748848,0.476100,0.961400
1776087146.757672,0.477600,0.960100
1776087146.764197,0.475800,0.958300
1776087146.771130,0.475500,0.959200
1776087146.771215,0.475800,0.961400
1776087146.773536,0.476100,0.959800
1776087146.778210,0.475800,0.958600
1776087146.788864,0.475200,0.959200
1776087146.789013,0.477000,0.961100
1776087146.798022,0.475200,0.960100
1776087146.798333,0.475800,0.958000
1776087146.803293,0.477000,0.959500
1776087146.808305,0.477000,0.961700
1776087146.815818,0.477900,0.960100
1776087146.819688,0.476400,0.958300
1776087146.823242,0.474300,0.959200
1776087146.833812,0.476400,0.961700
1776087146.833896,0.476100,0.959800
1776087146.839353,0.476400,0.958000
1776087146.850727,0.476400,0.959500
1776087146.850845,0.477300,0.961100
1776087146.854344,0.478200,0.960100
1776087146.860269,0.478200,0.958300
1776087146.864015,0.478200,0.959200
1776087146.868313,0.477900,0.961700
1776087146.873766,0.477000,0.960400
1776087146.878300,0.477900,0.958300
1776087146.883162,0.477900,0.959200
1776087146.894440,0.478200,0.961100
1776087146.894821,0.477900,0.960400
1776087146.899196,0.477600,0.958600
1776087146.906086,0.480400,0.959500
1776087146.910659,0.478200,0.961700
1776087146.913865,0.477900,0.960100
1776087146.918185,0.477000,0.958600
1776087146.923198,0.479200,0.959200
1776087146.928252,0.478200,0.961400
1776087146.933179,0.479200,0.960100
1776087146.938314,0.478200,0.958300
1776087146.943740,0.477900,0.960100
1776087146.948172,0.478200,0.961700
1776087146.953196,0.478200,0.959800
1776087146.958190,0.477900,0.958300
1776087146.963161,0.478200,0.959200
1776087146.968166,0.477600,0.961100
1776087146.973259,0.480400,0.960100
1776087146.978188,0.477000,0.958600
1776087146.983157,0.477600,0.960100
1776087146.988250,0.479500,0.961400
1776087146.994694,0.477600,0.960400
1776087146.998294,0.479200,0.958600
1776087147.003162,0.480100,0.959800
1776087147.008181,0.480100,0.961700
1776087147.013322,0.482500,0.960800
1776087147.018235,0.479500,0.958000
1776087147.023188,0.480400,0.959800
1776087147.028170,0.480100,0.961100
1776087147.033197,0.480400,0.959800
1776087147.038520,0.478900,0.958900
1776087147.045686,0.481900,0.959500
1776087147.048276,0.481300,0.961700
1776087147.053197,0.480700,0.960100
1776087147.058174,0.480700,0.958600
1776087147.063284,0.481600,0.959500
1776087147.068223,0.480700,0.961100
1776087147.073185,0.482500,0.960100
1776087147.078235,0.480700,0.958300
1776087147.083159,0.480400,0.959500
1776087147.088581,0.481000,0.961400
1776087147.094017,0.481900,0.960800
1776087147.098168,0.480700,0.958000
1776087147.103190,0.480700,0.959500
1776087147.109380,0.480700,0.961400
1776087147.114673,0.480400,0.960100
1776087147.118163,0.481000,0.958300
1776087147.123191,0.481900,0.959200
1776087147.128172,0.481300,0.961100
1776087147.133166,0.482500,0.960400
1776087147.138754,0.481300,0.958300
1776087147.144513,0.480400,0.959800
1776087147.148184,0.482500,0.961100
1776087147.153176,0.483100,0.959800
1776087147.158173,0.481900,0.958600
1776087147.163193,0.485600,0.959800
1776087147.168167,0.483100,0.961400
1776087147.173208,0.483100,0.960100
1776087147.178160,0.482500,0.958900
1776087147.183147,0.482800,0.959200
1776087147.188921,0.483100,0.961700
1776087147.193263,0.484000,0.960100
1776087147.198177,0.482500,0.958600
1776087147.203189,0.483700,0.959200
1776087147.208196,0.483100,0.961700
1776087147.213192,0.481900,0.960100
1776087147.218202,0.482800,0.958300
1776087147.223178,0.483700,0.959200
1776087147.228150,0.483100,0.961100
1776087147.233157,0.482800,0.960400
1776087147.241206,0.482800,0.958300
1776087147.244184,0.482200,0.959500
1776087147.248178,0.484300,0.961400
