unix_time_s,voltage_a0,voltage_a3
1775750026.233077,0.468500,0.958900
1775750026.233214,0.467300,0.960800
1775750026.233370,0.465400,0.960400
1775750026.233442,0.466000,0.959500
1775750026.233548,0.466000,0.959200
1775750026.236786,0.465100,0.960800
1775750026.241824,0.464200,0.960800
1775750026.272731,0.464800,0.959500
1775750026.279039,0.464800,0.959800
1775750026.279127,0.466000,0.960800
1775750026.279215,0.465400,0.961100
1775750026.279290,0.465700,0.959200
1775750026.279363,0.465700,0.959800
1775750026.279433,0.466600,0.961100
1775750026.281687,0.467300,0.960800
1775750026.286944,0.466000,0.959200
1775750026.291703,0.464800,0.959800
1775750026.296816,0.467300,0.961400
1775750026.301657,0.466000,0.960800
1775750026.306737,0.466900,0.959500
1775750026.311690,0.467300,0.959800
1775750026.316667,0.467300,0.960800
1775750026.321662,0.467900,0.961100
1775750026.326666,0.467300,0.959800
1775750026.331742,0.468500,0.959500
1775750026.336666,0.469700,0.961100
1775750026.341654,0.467300,0.960800
1775750026.346662,0.468200,0.959200
1775750026.351691,0.468500,0.959500
1775750026.356673,0.468500,0.960800
1775750026.361660,0.468200,0.960800
1775750026.366697,0.469700,0.959200
1775750026.372613,0.470300,0.959200
1775750026.377813,0.468500,0.961400
1775750026.382356,0.470600,0.960100
1775750026.404950,0.470600,0.958600
1775750026.405032,0.470600,0.958900
1775750026.405138,0.471200,0.960400
1775750026.405215,0.470600,0.960800
1775750026.406663,0.471200,0.959200
1775750026.411661,0.468500,0.959200
1775750026.416674,0.471800,0.960800
1775750026.421712,0.471800,0.960400
1775750026.426680,0.471500,0.958600
1775750026.431684,0.472100,0.959500
1775750026.436696,0.472400,0.960400
1775750026.441701,0.473100,0.959800
1775750026.446667,0.471800,0.959200
1775750026.451694,0.473100,0.959200
1775750026.456802,0.472100,0.960400
1775750026.461669,0.472700,0.960100
1775750026.466680,0.473400,0.958900
1775750026.471681,0.474300,0.959200
1775750026.476684,0.475200,0.960100
1775750026.481711,0.474600,0.959800
1775750026.491896,0.474000,0.958900
1775750026.496494,0.474000,0.959200
1775750026.498511,0.474600,0.960800
1775750026.501946,0.474900,0.960400
1775750026.506673,0.475500,0.958600
1775750026.511709,0.475800,0.959200
1775750026.516658,0.476100,0.960800
1775750026.521851,0.475500,0.960100
1775750026.526676,0.475800,0.958300
1775750026.531674,0.476100,0.958600
1775750026.536669,0.476400,0.960400
1775750026.541677,0.476400,0.960100
1775750026.546678,0.476400,0.958600
1775750026.551939,0.477600,0.958600
1775750026.556997,0.476700,0.960800
1775750026.563223,0.476400,0.959800
1775750026.566731,0.477000,0.959200
1775750026.574557,0.478200,0.959200
1775750026.579965,0.477900,0.960800
1775750026.582583,0.477600,0.960400
1775750026.586743,0.477300,0.959200
1775750026.591781,0.478200,0.958900
1775750026.597515,0.478200,0.960400
1775750026.603120,0.478900,0.960800
1775750026.606973,0.479200,0.958900
1775750026.611679,0.478200,0.958900
1775750026.616666,0.479500,0.960400
1775750026.621665,0.480700,0.959800
1775750026.626691,0.480100,0.958900
1775750026.631672,0.480700,0.958600
1775750026.638561,0.480700,0.960100
1775750026.643458,0.480400,0.960400
1775750026.648455,0.480100,0.959200
1775750026.652908,0.480100,0.959200
1775750026.656885,0.481900,0.960400
1775750026.662210,0.481300,0.959800
1775750026.666675,0.481300,0.958600
1775750026.671665,0.481300,0.958900
1775750026.676709,0.481900,0.960100
1775750026.681658,0.482500,0.960400
1775750026.688794,0.481900,0.958900
1775750026.693226,0.482500,0.958900
1775750026.696695,0.483100,0.960100
1775750026.701707,0.484000,0.960100
1775750026.706668,0.482800,0.959200
1775750026.711657,0.482800,0.958900
1775750026.716675,0.483100,0.960800
1775750026.721666,0.483100,0.960800
1775750026.726661,0.484300,0.958600
1775750026.731778,0.483700,0.959200
1775750026.738459,0.484000,0.961100
1775750026.743588,0.485600,0.960400
1775750026.746834,0.484300,0.959200
1775750026.751667,0.485600,0.959200
1775750026.756689,0.486200,0.960400
1775750026.761672,0.484300,0.960400
1775750026.766696,0.484300,0.958900
1775750026.771679,0.484600,0.958900
1775750026.776658,0.485600,0.960800
1775750026.781669,0.485900,0.960400
1775750026.790317,0.486200,0.958900
1775750026.794740,0.486800,0.958900
1775750026.796683,0.485600,0.960800
1775750026.801671,0.486200,0.960400
1775750026.806677,0.486500,0.959500
1775750026.811729,0.486800,0.959500
1775750026.816831,0.487400,0.960800
1775750026.821690,0.486500,0.960400
1775750026.826696,0.486200,0.958600
1775750026.831699,0.487400,0.958900
1775750026.838306,0.488000,0.960400
1775750026.842558,0.488000,0.960400
1775750026.846664,0.488000,0.959200
1775750026.917059,0.488000,0.958900
1775750026.917391,0.488000,0.960800
1775750026.917668,0.489200,0.961100
1775750026.917816,0.489200,0.959200
1775750026.917926,0.489200,0.959500
1775750026.918070,0.490100,0.960800
1775750026.918533,0.488900,0.961100
1775750026.918699,0.488600,0.959800
1775750026.919280,0.490400,0.959500
1775750026.919699,0.490400,0.961400
1775750026.920010,0.491100,0.960800
1775750026.920110,0.490800,0.959800
1775750026.920258,0.490400,0.959500
1775750026.920450,0.490400,0.961100
1775750026.921685,0.490100,0.961100
1775750026.926733,0.490400,0.959200
1775750026.931679,0.491700,0.959800
1775750026.936758,0.492900,0.961100
1775750026.941929,0.490800,0.961100
1775750026.954100,0.491400,0.959500
1775750026.954185,0.491700,0.959800
1775750026.969212,0.492300,0.961400
1775750026.970183,0.492300,0.961100
1775750026.971653,0.492600,0.959800
1775750026.972701,0.491700,0.959200
1775750026.976850,0.492900,0.960800
1775750026.981762,0.492600,0.960400
1775750026.996662,0.492300,0.959200
1775750027.000610,0.492000,0.959800
1775750027.002154,0.492900,0.961400
1775750027.003328,0.492900,0.961100
1775750027.007283,0.492000,0.959800
1775750027.011839,0.493800,0.959800
1775750027.016710,0.494100,0.961100
1775750027.021682,0.493800,0.961100
1775750027.026713,0.494100,0.959800
1775750027.033997,0.494700,0.959500
1775750027.044078,0.495000,0.961400
1775750027.049826,0.495000,0.960800
1775750027.051205,0.494700,0.959200
1775750027.051947,0.495000,0.959800
1775750027.056715,0.495300,0.961100
1775750027.061667,0.495300,0.961400
1775750027.066679,0.495900,0.959800
1775750027.071673,0.494400,0.959800
1775750027.076707,0.495000,0.961700
1775750027.081689,0.496600,0.961400
1775750027.089307,0.495900,0.959800
1775750027.096452,0.496200,0.959500
1775750027.096822,0.497200,0.960800
1775750027.101747,0.496600,0.961100
1775750027.106660,0.496600,0.959500
1775750027.111659,0.497200,0.959500
1775750027.116688,0.496600,0.961100
1775750027.121683,0.497500,0.960800
1775750027.126697,0.497500,0.959200
1775750027.131687,0.497800,0.959500
1775750027.139053,0.499600,0.961100
1775750027.141745,0.497800,0.961100
1775750027.146702,0.497800,0.959500
1775750027.151716,0.499000,0.959200
1775750027.156686,0.497800,0.960800
1775750027.161672,0.499000,0.961100
1775750027.166667,0.497800,0.959500
1775750027.171685,0.498400,0.959200
1775750027.176674,0.499000,0.960800
1775750027.181693,0.499000,0.960800
1775750027.190067,0.498700,0.959500
1775750027.194114,0.499000,0.959800
1775750027.196678,0.499600,0.961100
1775750027.201665,0.499600,0.961100
1775750027.206704,0.499300,0.959800
1775750027.211673,0.499900,0.959500
1775750027.216672,0.499900,0.961400
1775750027.221700,0.499900,0.961400
1775750027.226703,0.500200,0.959200
1775750027.231688,0.499900,0.959500
1775750027.240680,0.500200,0.961100
1775750027.244115,0.500800,0.960800
1775750027.246696,0.500200,0.960100
1775750027.251674,0.500800,0.959500
1775750027.256702,0.501400,0.960800
1775750027.261683,0.502000,0.960800
1775750027.266663,0.501700,0.959200
1775750027.271719,0.502000,0.959800
1775750027.276684,0.502000,0.960800
1775750027.281675,0.502000,0.960800
1775750027.288929,0.501400,0.959800
1775750027.292969,0.500800,0.959800
1775750027.297002,0.502700,0.961100
1775750027.301674,0.502700,0.961100
1775750027.306683,0.502700,0.959500
1775750027.311664,0.502000,0.959800
1775750027.316725,0.503900,0.960800
1775750027.321706,0.502700,0.961100
1775750027.326687,0.502700,0.959200
1775750027.331695,0.503900,0.960100
1775750027.340178,0.503300,0.961700
1775750027.342289,0.504800,0.960800
1775750027.346695,0.503600,0.959500
